ticket_id,title,description,priority,category,status,created_date,assigned_team,resolution,tags
INC-1122,Guest network access needed,Guest network access needed - User reported issue via email/phone. Initial assessment completed.,P3,Network & Connectivity,Pending,2026-04-08 20:30,Cloud Infrastructure,"Reset network adapter, connected","training,software,security"
INC-1140,Cannot access internal website,Cannot access internal website - User reported issue via email/phone. Initial assessment completed.,P1,Network & Connectivity,Resolved,2026-04-08 20:30,Network Team,"Replaced ethernet cable, working now",security
INC-1144,DNS resolution error,DNS resolution error - User reported issue via email/phone. Initial assessment completed.,P2,Network & Connectivity,In Progress,2026-04-08 20:30,Database Team,Reconfigured VPN profile,"access,hardware"
INC-1197,Database connection error,Database connection error - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Resolved,2026-04-08 20:30,Network Team,"API timeout increased, fixed",performance
INC-1225,SSL certificate expiring,SSL certificate expiring - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-04-08 20:30,Database Team,"Cleared backup queue, completed",hardware
INC-1011,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,In Progress,2026-04-07 20:30,Application Support,"Configured MFA, user confirmed working","software,hardware"
INC-1016,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,In Progress,2026-04-07 20:30,Security Team,"Configured MFA, user confirmed working",infrastructure
INC-1239,Container restart needed,Container restart needed - User reported issue via email/phone. Initial assessment completed.,P2,Infrastructure,Escalated,2026-04-07 20:30,Database Team,"Cleared backup queue, completed","performance,access"
INC-1109,Software installation request,Software installation request - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-04-06 20:30,Security Team,"Reinstalled OS, issue resolved",authentication
INC-1217,Calendar invites not working,Calendar invites not working - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Pending,2026-04-06 20:30,Desktop Support,"Cleared cache, app working now",security
INC-1047,Need access to shared drive,Need access to shared drive - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,Resolved,2026-04-05 20:30,Desktop Support,"Re-synced OAuth tokens, working now","infrastructure,authentication,hardware"
INC-1166,Report generation slow,Report generation slow - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Escalated,2026-04-05 20:30,Security Team,"Cleared cache, app working now","security,software,performance"
INC-1173,Mobile app not loading,Mobile app not loading - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-04-05 20:30,Network Team,"API timeout increased, fixed","network,security,software"
INC-1046,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,Resolved,2026-04-04 20:30,Security Team,Added to correct security group,"access,performance,cloud"
INC-1078,Software installation request,Software installation request - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-04-04 20:30,Network Team,"Installed latest updates, no more crashes",authentication
INC-1178,API integration failing,API integration failing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-04-04 20:30,Cloud Infrastructure,"API timeout increased, fixed","security,infrastructure,access"
INC-1216,Calendar invites not working,Calendar invites not working - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Escalated,2026-04-04 20:30,Cloud Infrastructure,"Re-deployed container, no more issues","training,hardware,performance"
INC-1249,Load balancer alert,Load balancer alert - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-04-04 20:30,Security Team,"Renewed SSL certificate, all green","performance,training"
INC-1267,Training material request,Training material request - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-04-04 20:30,Cloud Infrastructure,Escalated to manager for approval,"cloud,security"
